Time at Media End,07/02/2022 22:16
Multimedia File,S26_P076_Zoe_all.mp4
Lower Label,Negative Affect
Upper Label,Positive Affect
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0
3,0
4,0
5,0.1057065
6,0.5182063
7,0.565217
8,0.565217
9,0.565217
10,0.565217
11,0.565217
12,0.565217
13,0.565217
14,0.565217
15,0.565217
16,0.565217
17,0.565217
18,0.565217
19,0.565217
20,0.565217
21,0.565217
22,0.565217
23,0.565217
24,0.565217
25,0.565217
26,0.565217
27,0.565217
28,0.565217
29,0.565217
30,0.565217
31,0.565217
32,0.565217
33,0.565217
34,0.565217
35,0.565217
36,0.565217
37,0.565217
38,0.565217
39,0.565217
40,0.565217
41,0.565217
42,0.565217
43,0.565217
44,0.565217
45,0.565217
46,0.565217
47,0.565217
48,0.565217
49,0.565217
50,0.565217
51,0.565217
52,0.565217
53,0.565217
54,0.565217
55,0.565217
56,0.565217
57,0.565217
58,0.565217
59,0.565217
60,0.565217
61,0.565217
62,0.565217
63,0.565217
64,0.565217
65,0.565217
66,0.57717365
67,0.71304315
68,0.708809789
69,0.668478
70,0.668478
71,0.6165759
72,0.576087
73,0.576087
74,0.576087
75,0.576087
76,0.576087
77,0.576087
78,0.576087
79,0.65706515
80,0.8331521
81,1.65597825
82,2
83,1.79347825
84,1.03396725
85,0.9690219
86,0.956522
87,1.165332
88,1.33070665
89,0.8538041
90,0.891304
91,0.891304
92,0.891304
93,0.891304
94,0.891304
95,0.891304
96,0.891304
97,0.891304
98,0.891304
99,0.8203802
100,0.6195653
101,0.603261
102,0.64728275
103,0.809783
104,0.809783
105,0.809783
106,0.809783
107,0.809783
108,0.809783
109,0.809783
110,0.809783
111,0.809783
112,0.809783
113,0.809783
114,0.809783
115,0.809783
116,0.809783
117,0.809783
118,0.809783
119,0.7413043
120,0.776029632
121,0.820652
122,0.820652
123,0.820652
124,0.820652
125,0.820652
126,0.820652
127,0.820652
128,0.820652
129,0.820652
130,0.820652
131,0.820652
132,0.820652
133,0.820652
134,0.838386579
135,1.8163043
136,1.05869575
137,0.929348
138,0.929348
139,0.929348
140,1.1888588
141,2
142,2
143,2
144,2
145,1.6440217
146,0.8179346
147,1.1777172
148,1.998855842
149,1.39456515
150,0.7872279
151,0.788043
152,0.788043
153,0.788043
154,0.788043
155,0.788043
156,0.788043
157,0.788043
158,0.788043
159,0.788043
160,0.788043
161,0.788043
162,0.788043
163,0.788043
164,0.788043
165,0.788043
166,0.788043
167,0.788043
168,0.788043
169,0.788043
170,0.788043
171,0.788043
172,0.788043
173,0.788043
174,0.788043
175,0.788043
176,0.788043
177,0.788043
178,0.788043
179,0.788043
180,0.788043
181,0.788043
182,0.788043
183,0.788043
184,0.788043
185,0.788043
186,0.788043
187,0.79891295
188,0.5543478
189,0.548913
190,0.6516302
191,0.668478
192,0.668478
193,0.668478
194,0.83804335
195,0.98913
196,0.98913
197,0.98913
198,0.98913
199,0.98913
200,0.98913
201,0.98913
202,0.98913
203,0.98913
204,0.98913
205,0.98913
206,0.98913
207,0.98913
208,0.98913
209,0.98913
210,0.98913
211,0.98913
212,0.98913
213,0.98913
214,0.945404727
215,0.98913
216,0.98913
217,0.98913
218,0.98913
219,0.98913
220,0.98913
221,0.98913
222,0.98913
223,0.98913
224,0.98913
225,0.98913
226,0.98913
227,0.98913
228,0.98913
229,0.98913
230,0.98913
231,0.98913
232,0.98913
233,0.98913
234,0.98913
235,0.98913
236,0.98913
237,1.002860158
238,1.021739
239,1.021739
240,1.021739
241,1.0749999
242,1.961384684
243,1.8717394
244,0.95326085
245,0.994565
246,0.994565
247,0.994565
248,0.994565
249,0.994565
250,0.994565
251,0.994565
252,0.994565
253,0.994565
254,0.994565
255,0.994565
256,0.994565
257,1.00896775
258,1.01087
259,1.01087
260,1.5649458
261,1.004862632
262,1.0089675
263,1.005435
264,1.005435
265,1.005435
266,1.005435
267,1.005435
268,1.005435
269,1.005435
270,1.005435
271,1.005435
272,1.005435
273,1.005435
274,1.72201095
275,1.667048105
276,1.0032607
277,0.994565
278,0.994565
279,0.994565
280,0.994565
281,0.91005435
282,0.875
283,0.875
284,0.875
285,0.875
286,0.875
287,0.8869565
288,1.0823369
289,1.07173895
290,1.043478
291,1.043478
292,1.043478
293,1.043478
294,1.043478
295,1.043478
296,1.043478
297,1.043478
298,1.043478
299,1.043478
300,1.043478
301,1.043478
302,1.043478
303,1.043478
304,1.043478
305,1.043478
306,1.043478
307,1.043478
308,1.043478
309,1.043478
310,1.043478
311,1.043478
312,1.043478
313,1.043478
314,1.043478
315,1.16902155
316,1.73586965
317,1.072940789
318,1.059783
319,1.059783
320,1.059783
321,1.059783
322,1.059783
323,1.059783
324,1.059783
325,1.059783
326,1.07472865
327,1.50923875
328,1.510869474
329,1.0366849
330,1.027174
331,1.027174
332,1.027174
333,1.027174
334,1.027174
335,1.027174
336,1.027174
337,1.027174
338,1.027174
339,1.79048915
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,1.3929347
348,1.0097828
349,1.5418479
350,2
351,1.859267737
352,1.02391295
353,1.99565215
