P088,P103,P116,P123
0.0,0.0,0.0,0.0
0.0,0.0,0.118135,0.0
0.0,0.0,0.526887842105264,0.0480546315789475
0.0,0.312070947368421,0.588958578947368,0.2997282
0.0,0.488844210526316,0.592391,0.517162578947369
0.37843252631579,0.494565,0.592391,0.521739
0.451087,0.494565,0.592391,0.535754947368421
0.451087,0.494565,0.592391,0.543478
0.451087,0.494565,0.592391,0.543478
0.451087,0.494565,0.592391,0.543478
0.451087,0.494565,0.592391,0.543478
0.451087,0.494565,0.592391,0.543478
0.451087,0.494565,0.646738736842105,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451087,0.494565,0.663043,0.543478
0.451945105263158,0.494565,0.676487,0.543478
0.5774455,0.494565,0.913901315789474,0.543478
0.7057061,0.494565,0.940217,0.54429325
0.711956,0.494565,0.940217,0.767448631578947
0.711956,0.494565,0.940217,0.881293
0.711956,0.494565,0.940217,0.902174
0.711956,0.494565,0.940217,0.902174
0.711956,0.494565,0.940217,0.902174
0.711956,0.494565,0.940217,0.902174
0.711956,0.758009052631579,0.940217,0.902174
0.711956,1.00343268421053,0.940217,0.902174
0.72255395,1.005435,0.940217,0.902174
0.766304,0.988844421052631,0.940217,0.902174
0.766304,0.978261,0.940217,0.902174
0.766304,0.978261,0.940217,0.902174
0.766304,0.978261,0.871281157894736,0.902174
0.766304,0.978261,0.86413,0.902174
0.766304,0.978261,0.86413,0.902174
0.766304,0.978261,0.86413,0.902174
0.773913,0.978261,0.86413,0.902174
0.777174,0.978261,0.86413,0.902174
0.85726547368421,0.978261,0.86413,0.902174
0.945651999999999,0.978261,0.86413,0.902174
1.14999985,0.978261,0.86413,0.902174
1.15054355,0.978261,0.960812263157895,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.951087000000001,0.978261,1.027174,0.902174
0.988272263157895,0.978261,1.027174,0.902174
1.1027175,0.978261,1.027174,0.91467395
