speaker,start,end,duration,content
T001,7.04,7.48,0.44,K.
T001,8.48,21.95,13.47,"So hello everyone and thanks for coming today. We're going to play a quiz, so I'm going to ask you a question and you're going to need to give me the tree most popular answers to that question. The question was posed to 100 people."
T001,22.93,28.1,5.17,"After you get the tree top answers, I'm going to ask you to rank them from most popular to least popular."
T001,29.06,33.73,4.67,And that's the entire quiz. So do you have any questions on this before we start?
T001,36.95,43.27,6.32,"Brilliance OK, so the first question is name something people are often chased by in movies."
P013,46.45,47.12,0.67,Police
T001,48.15,51.32,3.17,"At least you know police are cops is one of them, yeah."
T001,55.46,56.65,1.19,So we've got two more.
P041,58.49,59.06,0.57,Ours.
P031,58.66,59.27,0.61,Birthday.
T001,59.95,65.34,5.39,"Cars would be another one, yet, so we've got police in cars and we've got one more."
P031,66.12,69.57,3.45,I was going to say cars so I.
T001,69.21,70.83,1.62,Unfortunately beaten to it.
P031,72.22,72.98,0.76,Uhm?
P031,74.77,75.61,0.84,I'm not sure.
P031,76.34,77.09,0.75,Anne.
P031,79.65,80.81,1.16,Maybe zombies?
T001,81.93,90.3,8.37,"Zombies, yeah, I'll take that. It's it's monsters in general. I think I think nowadays maybe more zombies are the most popular one, but monsters?"
P031,85.21,85.62,0.41,OK.
T001,91.23,101.17,9.94,"Uhm, OK, so we've got. We've got police or cops cars and monsters, so now I'm going to ask you to sort of work together as a team and try and."
T001,101.85,104.72,2.87,Rank them from most popular to least popular.
T001,106.48,108.27,1.79,So what do you think is gonna be the most popular and then?
P041,112.78,117.33,4.55,Maybe the monsters that sounds like something people would say zombies and monsters. It seemed like a good one.
P013,117.83,118.48,0.65,Diagram.
P031,119.01,122.04,3.03,"It's like collective group, so yeah."
P041,119.02,119.43,0.41,Yeah.
P041,121.49,121.88,0.39,Yeah.
P031,122.66,123.33,0.67,I'd say so.
P041,125.13,125.88,0.75,And then.
P031,126.61,127.79,1.18,Maybe after that?
P031,129.19,129.95,0.76,Uhm?
P013,130.8,134.15,3.35,Pangit book off second hand cars third.
P041,134.48,134.92,0.44,Yeah.
P031,134.82,139.64,4.82,"Yeah, 'cause the cars cars like a car chase like there could be like I don't know."
P013,139.41,140.0,0.59,Yeah.
P041,140.31,140.68,0.37,Yeah.
T001,142.08,146.45,4.37,"OK, so it seems like you all have agreement on that, but just to be sure you're saying it's monsters."
T001,147.23,148.53,1.3,Cops and then cars.
P031,149.18,149.71,0.53,Yeah.
