pair,engagement by Utterance,engagement by Second,mean engagement by Utterance,mean engagement by Second,openness,conscientiousness,extraversion,agreeableness,neuroticism,openness difference,conscientiousness difference,extraversion difference,agreeableness difference,neuroticism difference
P011_P017,1.3324709077207604,1.2895347540312816,1.3299718824664803,1.2768737252973794,0.27,0.08,0.9,0.45,0.33,-0.03999999999999998,-0.15999999999999998,0.42000000000000004,0.2,-0.26999999999999996
P011_P025,1.555437020614035,1.4274472654605264,1.3299718824664803,1.2768737252973794,0.27,0.08,0.9,0.45,0.33,0.08000000000000002,-0.39999999999999997,0.35,0.10000000000000003,-0.03999999999999998
P011_P026,1.2710173272434455,1.1758746330979886,1.3299718824664803,1.2768737252973794,0.27,0.08,0.9,0.45,0.33,-0.07999999999999996,-0.48000000000000004,0.31000000000000005,0.0,-0.07
P017_P011,1.1241316668217107,1.1261454568329425,1.1350402072443817,1.0636953106229154,0.31,0.24,0.48,0.25,0.6,0.03999999999999998,0.15999999999999998,-0.42000000000000004,-0.2,0.26999999999999996
P017_P025,1.2897041388888884,1.2247508541666663,1.1350402072443817,1.0636953106229154,0.31,0.24,0.48,0.25,0.6,0.12,-0.24,-0.07000000000000006,-0.09999999999999998,0.22999999999999998
P017_P026,1.1017458976681287,1.0263878798031667,1.1350402072443817,1.0636953106229154,0.31,0.24,0.48,0.25,0.6,-0.03999999999999998,-0.32000000000000006,-0.10999999999999999,-0.2,0.19999999999999996
P025_P011,0.5458383688739783,0.5186806128021668,0.5261941432951663,0.47434514857569865,0.19,0.48,0.55,0.35,0.37,-0.08000000000000002,0.39999999999999997,-0.35,-0.10000000000000003,0.03999999999999998
P025_P017,0.4914841936118909,0.4740460257552165,0.5261941432951663,0.47434514857569865,0.19,0.48,0.55,0.35,0.37,-0.12,0.24,0.07000000000000006,0.09999999999999998,-0.22999999999999998
P025_P026,0.5100655914473685,0.513731444801027,0.5261941432951663,0.47434514857569865,0.19,0.48,0.55,0.35,0.37,-0.15999999999999998,-0.08000000000000007,-0.039999999999999925,-0.10000000000000003,-0.030000000000000027
P026_P011,1.1615646655072536,1.1571984413487635,1.1851617455434356,1.163608116880214,0.35,0.56,0.59,0.45,0.4,0.07999999999999996,0.48000000000000004,-0.31000000000000005,0.0,0.07
P026_P017,1.146637049169493,1.136634079693316,1.1851617455434356,1.163608116880214,0.35,0.56,0.59,0.45,0.4,0.03999999999999998,0.32000000000000006,0.10999999999999999,0.2,-0.19999999999999996
P026_P025,1.3151721666666667,1.4367527500000001,1.1851617455434356,1.163608116880214,0.35,0.56,0.59,0.45,0.4,0.15999999999999998,0.08000000000000007,0.039999999999999925,0.10000000000000003,0.030000000000000027
P019_P021,1.3205538991837231,1.2851552254725964,1.1712346616068317,1.1169639647946363,0.35,0.88,0.24,0.1,0.23,-0.11000000000000004,0.36,-0.24,-0.45000000000000007,0.06
P019_P024,1.1458010969298245,1.164551042617819,1.1712346616068317,1.1169639647946363,0.35,0.88,0.24,0.1,0.23,-0.15000000000000002,0.36,-0.42000000000000004,-0.7000000000000001,-0.17
P019_P027,1.122895820662768,1.122675591174907,1.1712346616068317,1.1169639647946363,0.35,0.88,0.24,0.1,0.23,0.07999999999999996,0.0,0.0,-0.75,-0.19999999999999998
P021_P019,1.154681259452909,1.1575833092411263,1.1084113670622606,1.0532554396941247,0.46,0.52,0.48,0.55,0.17,0.11000000000000004,-0.36,0.24,0.45000000000000007,-0.06
P021_P024,1.1293799637006658,1.0985407248882009,1.1084113670622606,1.0532554396941247,0.46,0.52,0.48,0.55,0.17,-0.03999999999999998,0.0,-0.18000000000000005,-0.25,-0.23
P021_P027,1.0621901315789477,1.05590802631579,1.1084113670622606,1.0532554396941247,0.46,0.52,0.48,0.55,0.17,0.19,-0.36,0.24,-0.29999999999999993,-0.26
P024_P019,1.3263119756232686,1.351422867747858,1.2505903860674572,1.196853652355743,0.5,0.52,0.66,0.8,0.4,0.15000000000000002,-0.36,0.42000000000000004,0.7000000000000001,0.17
P024_P021,1.2674740312587025,1.237417707207942,1.2505903860674572,1.196853652355743,0.5,0.52,0.66,0.8,0.4,0.03999999999999998,0.0,0.18000000000000005,0.25,0.23
P024_P027,1.122504433260234,1.0993591697368423,1.2505903860674572,1.196853652355743,0.5,0.52,0.66,0.8,0.4,0.22999999999999998,-0.36,0.42000000000000004,-0.04999999999999993,-0.02999999999999997
P027_P019,0.8469100050784859,0.9009702384740924,0.8600406717153674,0.8528500195232547,0.27,0.88,0.24,0.85,0.43,-0.07999999999999996,0.0,0.0,0.75,0.19999999999999998
P027_P021,0.835431062343359,0.8905244092887261,0.8600406717153674,0.8528500195232547,0.27,0.88,0.24,0.85,0.43,-0.19,0.36,-0.24,0.29999999999999993,0.26
P027_P024,0.7704199640350881,0.7618062979016171,0.8600406717153674,0.8528500195232547,0.27,0.88,0.24,0.85,0.43,-0.22999999999999998,0.36,-0.42000000000000004,0.04999999999999993,0.02999999999999997
P013_P031,1.1089887338724413,1.1089312789473684,1.237786638600174,1.143345045274297,0.85,0.0,0.59,0.5,0.53,0.7,-0.68,-0.17000000000000004,-0.25,0.06000000000000005
P013_P041,1.2954943646830555,1.2625565498204578,1.237786638600174,1.143345045274297,0.85,0.0,0.59,0.5,0.53,0.27,-0.92,0.039999999999999925,-0.19999999999999996,0.06000000000000005
P031_P013,1.1938999513488022,1.20579493139794,1.2240054213610692,1.1734355901492624,0.15,0.68,0.76,0.75,0.47,-0.7,0.68,0.17000000000000004,0.25,-0.06000000000000005
P031_P041,1.1712362766027722,1.1607787391505078,1.2240054213610692,1.1734355901492624,0.15,0.68,0.76,0.75,0.47,-0.42999999999999994,-0.24,0.20999999999999996,0.050000000000000044,0.0
P041_P013,1.215102720005659,1.1718949212614869,1.2497720817112499,1.1597073246443093,0.58,0.92,0.55,0.7,0.47,-0.27,0.92,-0.039999999999999925,0.19999999999999996,-0.06000000000000005
P041_P031,1.1820646417466194,1.1560016282683563,1.2497720817112499,1.1597073246443093,0.58,0.92,0.55,0.7,0.47,0.42999999999999994,0.24,-0.20999999999999996,-0.050000000000000044,0.0
P004_P012,1.0664793581927576,1.0796237602383483,1.1165313493742643,1.109501594923468,0.15,0.16,0.14,0.0,0.73,-0.35,-0.24000000000000002,-0.44999999999999996,-0.8,0.5
P004_P016,1.005323619674186,0.9844345726817044,1.1165313493742643,1.109501594923468,0.15,0.16,0.14,0.0,0.73,-0.47,-0.28,-0.31,-0.35,0.16000000000000003
P004_P036,1.088058780258837,1.0879477047158495,1.1165313493742643,1.109501594923468,0.15,0.16,0.14,0.0,0.73,-0.58,-0.43999999999999995,-0.58,-0.4,0.09999999999999998
P012_P004,1.122487703609127,1.1286371460227274,1.1991432170068081,1.123627636019358,0.5,0.4,0.59,0.8,0.23,0.35,0.24000000000000002,0.44999999999999996,0.8,-0.5
